,venue,latitude,longitude,price_for_two,price_range,rating,address
363,Hotel Chandra Grand,17.430128,78.553072,600.0,2.0,3.5,"3rd & 4th Floor, Reliance Building, Opposite ESI Hospital, Nacharam, Secunderabad"
364,Bar 3 Restro,17.486661,78.553993,1500.0,3.0,2.8,"Plot 156, 3rd Floor, Netaji Nagar, X Roads, Hi-Tension Road, Sainikpuri, Secunderabad"
365,Amaravathi Restaurant & Bar,17.37314,78.557827,1000.0,3.0,3.8,"Shop 2-4-302, Alkapuri X Road, LB Nagar Road, Adarsh Nagar Colony, Nagole, Hyderabad"
366,Hotel Shanthi Deluxe,17.399151,78.512883,500.0,2.0,3.8,"Sri Sai Baba Nagar Colony, Shivam Road, Nallakunta, Hyderabad"
367,Feast - Sheraton Hyderabad Hotel,17.421599,78.338089,2500.0,4.0,4.4,"Sheraton Hyderabad Hotel, 115/1, ISB Road, Financial District, Nanakramguda, Gachibowli, Hyderabad"
368,Deli 9 Bistro,17.424149,78.344052,700.0,2.0,4.1,"Wipro SEZ Parking Route, Beside Barbeque Nation, Financial District, Nanakram Guda, Gachibowli, Hyderabad"
369,Jonathan's Kitchen - Holiday Inn Express & Suites,17.424128,78.347535,1900.0,3.0,4.2,"Holiday Inn Express & Suites, Gachibowli, Hyderabad"
370,Jonathan's Kitchen - Holiday Inn Express & Suites,17.424128,78.347535,1900.0,3.0,4.2,"Holiday Inn Express & Suites, Gachibowli, Hyderabad"
371,Zega - Sheraton Hyderabad Hotel,17.421706,78.33803,1800.0,3.0,4.4,"Sheraton Hyderabad Hotel, 115/1, 10th Floor, ISB Road, Financial District, Nanakramguda, Gachibowli, Hyderabad"
372,0.0,0.0,0.0,0.0,0.0,0.0,
373,Pista House,17.396797,78.424373,550.0,2.0,4.2,"9-4-77/3/8/19, Yousuf Tekri, Tolichowki, Hyderabad"
374,Temptations,17.396822,78.424483,300.0,1.0,3.7,"Opposite RTA Office, Yousuf Tekri Food Court, Tolichowki, Hyderabad"
375,Pista House,17.396797,78.424373,550.0,2.0,4.2,"9-4-77/3/8/19, Yousuf Tekri, Tolichowki, Hyderabad"
376,Zafar's Fine Dine,17.396879,78.424704,550.0,2.0,3.7,"Yousuf Tekhri Food Court, Tolichowki, Hyderabad"
377,Hotel Sweekar,17.390631,78.489188,500.0,2.0,4.1,"3-3-11, Cross Road, Opposite Big Bazaar, Kacheguda, Hyderabad"
378,Delhi Mithai Wala,17.500188,78.389481,400.0,1.0,3.6,"21F, Nizampet Road, Jai Bharat Nagar, Hyder Nagar, Vasantha Nagar, Nizampet, Hyderabad"
379,Naivedyam Family Dhaba,17.421289,78.50299,400.0,1.0,3.6,"6-1-107, Shop 6, Jay Chandra Enclave, Opposite Pol Bal Hanuman Temple, Padmarao Nagar, Secunderabad"
380,Chin Ling,17.440907,78.503704,400.0,1.0,4.1,"9-1-94/A, Near Sangeet Theatre, S D Road, Secunderabad"
381,Kamat Hotel,17.440743,78.497088,650.0,2.0,2.9,"Near Clock Tower, S D Road, Secunderabad"
382,Garden Restaurant,17.441849,78.498968,600.0,2.0,3.7,"38, S D Road, Near Clock Tower, Secunderabad"
383,Indo Arabian Mandi Restaurant,17.520862,78.396605,600.0,2.0,0,"Shop S6 And S 7, Plot 1250, Venkata Nivas Near Elephant Circle, Pragathi Nagar, Kukatpally, Hyderabad"
384,Bowl o' China,17.443264,78.477674,700.0,2.0,3.9,"1-8-303/33/A, Nagarm Towers, NTR Circle, S P Road, Secunderabad"
385,Viva - Vivanta By Taj,17.443718,78.460857,2000.0,4.0,4.0,"Vivanta By Taj, 1-10-147 & 148, Mayuri Marg, Begumpet, Hyderabad"
386,Chinese Pavilion,17.423518,78.448753,1000.0,3.0,4.2,"Vengal Rao Park, Road 1, Banjara Hills, Hyderabad"
387,Chutneys,17.426294,78.447586,800.0,2.0,4.5,"Shilpa Arcade, Road 3, Panjagutta, Hyderabad"
388,Lassi Corner,17.429706,78.449183,300.0,1.0,0,"1-632/205, Opposite Narayana Junior College, Bapu Nagar, S.r Nagar, Circle 10, Khairatabad, Hyderabad"
389,Meridian Cafe & Restaurant,17.427429,78.452263,600.0,2.0,4.5,"6-3-697/1, Officers Colony, Panjagutta Cross Road, Panjagutta, Hyderabad"
390,Roll Call,17.4262,78.448131,300.0,1.0,3.6,"Nagarjuna Circle, Panjagutta Flyover, VST Colony, Punjagutta, Hyderabad"
391,Minerva Coffee Shop,17.42878,78.455965,800.0,2.0,4.0,"Ground Floor, Amrutha Mall, Opposite GRT Jewelers, Raj Bhavan Road, Somajiguda, Hyderabad"
392,Journey 1853,17.415191,78.448931,1800.0,3.0,4.2,"5th Floor, City Center Mall, Road 1, Banjara Hills, Hyderabad"
393,Aromas of China,17.415291,78.449592,1500.0,3.0,4.1,"5th Floor, City Center Mall, Road 1, Banjara Hills, Hyderabad"
394,Subway,17.426552,78.45278,350.0,1.0,2.7,"Ground Floor, Hyderabad Central Mall, Pajagutta Cross Roads, Panjagutta, Hyderabad"
395,Angeethi Asli Dhaba,17.415245,78.448879,1100.0,3.0,3.7,"5th Floor, City Center Mall, Road 1, Banjara Hills, Hyderabad"
396,Eggsplore,17.426577,78.453018,350.0,1.0,0,"6-3-673, 673/1, 674 & 674/1, Hyderabad Central Mall, G.S.Center Point, Panjagutta X Road, Circle 10, Panjagutta, Hyderabad"
397,0.0,0.0,0.0,0.0,0.0,0.0,
398,Udupi Tiffin Center,17.426833,78.451376,100.0,1.0,3.1,"Below Shah Beauty Store, Nagarjuna Hills Bus Stop, Panjagutta, Hyderabad"
399,New Deccan Spices,17.416192,78.412671,200.0,1.0,2.7,"Plot 79, Gate B, Jubilee Hills, Hyderabad"
400,Kuppa Adda,17.411622,78.394889,300.0,1.0,0,"Plot 1090, Road 55, Jubilee Hills, Hyderabad"
401,Bakeline Bakery & Food Products,17.414806,78.394386,350.0,1.0,2.8,"Opposite JRC Convention, Ambedkar Nagar, Film Nagar, Hyderabad"
402,Mehfil,17.41416,78.394309,700.0,2.0,3.8,"5-123/1/A, H.S Dargah, Shakepet, Hyderabad"
403,The Waterfront,17.421612,78.465407,1200.0,3.0,4.1,"Eat Street, Necklace Road, Hyderabad"
404,KFC,17.422825,78.462251,450.0,1.0,3.9,"The Grand Tower, Raj Bhavan Road, Somajiguda, Hyderabad"
405,Verandah - The Park,17.423052,78.462671,1800.0,3.0,4.4,"The Park Hotel, 22, Raj Bhavan Road, Somajiguda, Hyderabad"
406,Eaton by Home Made Foods,17.417474,78.46514,300.0,1.0,3.6,"Pitstop, Parking Lot 1, Opposite Peoples Plaza, Necklace Road, Circle 10, Khairatabad, Hyderabad"
407,CM Chinese Fast Food,17.42543,78.507771,150.0,1.0,3.2,"6-1-132, Padmarao Nagar, In Front Of Garden, Padmarao Nagar, Secunderabad"
408,0.0,0.0,0.0,0.0,0.0,0.0,
409,Cuiscent,17.40631,78.463049,800.0,2.0,3.7,"The Cent Hotel, 6-1-1063/C, Opposite Collector's Office, Lakdikapul, Hyderabad"
410,MC Square Resto Cafe,17.490256,78.542396,700.0,2.0,3.9,"Plot 2S/P, HMT Bearing Colony, Kapra ECIL Post, Circle 1, Sainikpuri, Secunderabad"
411,Shree Siddharth Fast Food,17.489137,78.540022,350.0,1.0,3.9,"834, Defence Colony, Sainikpuri, Secunderabad"
412,Dawath,17.4831,78.539595,700.0,2.0,4.0,"32-87, JJ Nagar, Neredmet-Sainikpuri Road, Beside Ganesh Temple, Sainikpuri, Secunderabad"
413,Shikar Restaurant,17.482527,78.536801,700.0,2.0,3.3,"37-91, Defence Colony, Circle 17, Sainikpuri, Secunderabad"
414,Gulf Romansiah,17.353729,78.506576,800.0,2.0,2.9,"Shams Palace 17-1-388/C/15, Second Floors, Upon Maxvision Eye Hospital, IS Sadan Road, Saroor Nagar, Hyderabad"
415,Papadams,17.357338,78.557292,1000.0,3.0,3.9,"Plot 25, Rock Town Colony, Mansoorabad, L B Nagar, Hyderabad"
416,Vijaya Raghavendra Tiffins,17.365138,78.557126,400.0,1.0,3.7,"Alkapuri Cross Road, Nagole Road, Kothapet, Hyderabad"
417,Uttar Ke Swadh,17.434252,78.36803,500.0,2.0,0,"Plot 69, Shop 5, Telecom Nagar, Gachibowli, Hyderabad"
418,Angaara 2 Kababs on Charcoal,17.463875,78.346724,400.0,1.0,2.8,"Beside Heritage Fresh, Lane of Chirec Public School, Masjid Banda, Kondapur, Hyderabad"
419,Pakwaan,17.455908,78.484855,600.0,2.0,3.9,"178/2, Ground Floor, Venkat Reddy Complex, Tadbund Cross Roads, Bowenpally, Secunderabad"
420,Sathya Restaurant & Bar,17.456012,78.48356,650.0,2.0,3.4,"Tadbad Cross Road, Near Sathya Wine's, Bowenpally, Secunderabad"
421,Sathya Restaurant & Bar,17.456012,78.48356,650.0,2.0,3.4,"Tadbad Cross Road, Near Sathya Wine's, Bowenpally, Secunderabad"
422,Sweet Heart,17.456339,78.479132,800.0,2.0,3.8,"Plot no 58 & 59, Chinna Thokatta, Bowenpally, Secunderabad, hyderabad . "
423,13 Dhaba,17.437513,78.365674,450.0,1.0,4.2,"1-72/3A, Andhra Bank Lane, Near H.P. Petrol Pump, Gachibowli, Hyderabad"
424,Flames & Pots,17.434291,78.368035,300.0,1.0,3.4,"Shop 5, Plot 69, Telecom Nagar, Gachibowli, Hyderabad"
425,Delhi-39,17.432804,78.369873,600.0,2.0,3.0,"Telecom Nagar, Below More Supermarket, Near Police Commissioner Office, Gachibowli, Hyderabad"
426,Oye Punjabi,17.437551,78.36562,200.0,1.0,3.8,"1 72/3, PT 7, Near HP Petrol Pump, Gachibowli, Hyderabad"
427,The Globe Grub,17.435849,78.368189,1300.0,3.0,4.7,"Shop 202 & 203, Survey 50, 2nd Floor, Raichandani Business Park, Near Win Vision Hospital, Gachibowli, Hyderabad"
428,Sri Santhosh Family Dhaba,17.398734,78.512433,500.0,2.0,3.8,"2-2-1130/A/1, Shivam Road, Amberpet, Hyderabad"
429,Hong Kong Chinese Restaurant,17.444546,78.362867,700.0,2.0,3.6,"Opposite Bank Of India, Rajiv Nagar, Kondapur Road, Gachibowli, Hyderabad"
430,Urban Indian Kitchen,17.433613,78.374724,800.0,2.0,0,"116, Lumbini Enclave, Near IKEA, Hitech City Main Road, Gachibowli, Hyderabad"
431,Hitech Bawarchi Food Zone,17.443922,78.358585,500.0,2.0,3.0,"J V Colony, Near Kendriya Vidyalaya, Phase 2, Gachibowli, Hyderabad"
432,Delhi-39,17.432804,78.369873,600.0,2.0,3.0,"Telecom Nagar, Below More Supermarket, Near Police Commissioner Office, Gachibowli, Hyderabad"
433,Paradise Biryani,17.441425,78.376216,800.0,2.0,4.6,"1st & 2nd & Ground Floor, Plot 4/1 & 4/2, Survey 64, Huda Techno Enclave Mind Space Centre, Hitech City, Hyderabad"
434,Kebabs & Kurries - ITC Kakatiya,17.432417,78.456323,3400.0,4.0,4.2,"ITC Kakatiya, 6 3 1187, Begumpet, Hyderabad"
435,Jalpaan,17.430248,78.456702,1700.0,3.0,4.2,"6 3 112, 4th Floor, Oasis Center, Opposite Kalanekatan Wedding Mall, Somajiguda Main Road, Begumpet, Hyderabad"
436,Deccan Pavilion - ITC Kakatiya,17.43242,78.456324,2600.0,4.0,4.2,"ITC Kakatiya, 6 3 1187, Begumpet, Hyderabad"
437,Mainland China,17.43151,78.45638,1800.0,3.0,4.3,"6-3-1186/1/1, Opposite CM Residence, Greenlands Road, Teachers Colony, Greenlands, Begumpet, Hyderabad"
438,Oh! Calcutta,17.431487,78.456456,1600.0,3.0,4.4,"6-3-1186/1/1, Greenlands Road, Opposite CM Residence, Begumpet, Hyderabad"
439,Sigree,17.431469,78.456513,1600.0,3.0,4.0,"6 3 1186/1/1, Opposite CM Residence, Teachers Colony, Greenlands Road, Begumpet, Hyderabad"
440,Ohri's 70mm,17.431809,78.465,1500.0,3.0,4.6,"39, Near Jalvihar Entertainment Private Limited, Necklace Road, Hyderabad"
441,Ohri's Tansen,17.431671,78.465058,1500.0,3.0,4.8,"Ohri's at Jalavihar, Beside Jalvihar Entertainment Private Limited, Necklace Road, Hyderabad"
442,Y2K Restaurant,17.426439,78.452176,500.0,2.0,2.8,"Plot 6-3-391, Beside Panjagutta Police Station, Panjagutta, Hyderabad"
443,Fiza Darbar,17.42653,78.451747,800.0,2.0,3.0,"Nagarjuna Cir Road, Mothi Nagar, Dwarakapuri, Panjagutta, Hyderabad"
444,Cakes N Hugs,17.436526,78.437598,400.0,1.0,3.6,"8-3-222/1/2, Ahmed House, Behind Allahabad Bank, Madhuranagar"
445,Spicy Restaurant,17.429789,78.426117,500.0,2.0,3.9,"Plot 8-3-231/W/73, Indiranagar Cross Road, Sri Nagar Colony, Yousufguda, Hyderabad"
446,Al Mashaiq Cafe,17.447777,78.423224,100.0,1.0,0,"8-3-228/678/1478, Sri Ram Nagar, Yousufguda, Hyderabad"
447,My Friend's Circle Restaurant,17.499418,78.477667,700.0,2.0,4.1,"Plot 8, Near Laxmi Plaza, Medchal Road Cyberabad, R.R Dist, Ramraju Nagar, Jeedimetla, Secunderabad"
448,Kinara Grand,17.50413,78.478296,800.0,2.0,3.5,"Survey 91, 92 & 93, Plot 5, 6, 7, 10, 11 & 12, Block G, Suchitra X Roads, Kompally, Hyderabad"
449,Bombay Chaat,17.502779,78.479014,200.0,1.0,2.6,"Las Vegar Diner, Near Suchitra Circle, Kompally, Hyderabad"
450,Kinara Grand,17.420338,78.540103,800.0,2.0,3.4,"Opposite CCMB, Hotel Swagath Grand, Habsiguda Cross Road, Habsiguda, Hyderabad"
451,Makan Restaurant,17.473182,78.510085,800.0,2.0,3.1,"Plot S Y 26, Part CF/GF/FF, X Roads, Circle 36, Trimulgherry, Secunderabad"
452,Saba Hotel,17.47094,78.509313,500.0,2.0,3.7,"Cross Roads, Trimulgherry, Secunderabad"
453,Hira Panna,17.443558,78.479695,700.0,2.0,4.1,"160/1, 1st Floor, Patnys Pride, S P Road, Secunderabad"
454,Punjabi Affair,17.470074,78.509461,700.0,2.0,3.8,"2nd Floor, Vishal Towers, Opposite Volkswagen Showroom, Trimulgherry, Secunderabad"
455,Adam's Shalimar Restaurant,17.402605,78.410387,700.0,2.0,3.4,"Door 8-1-355/10, 1st Floor, Adam Colony, Tolichowki, Hyderabad"
456,Kholani's,17.400485,78.413834,1000.0,3.0,2.6,"Opposite Banares Hall, Tolichowki Main Road, Tolichowki, Hyderabad"
457,Adam's Shalimar Restaurant,17.402605,78.410387,700.0,2.0,3.4,"Door 8-1-355/10, 1st Floor, Adam Colony, Tolichowki, Hyderabad"
458,Ruby The Royal Palace- Restaurant and Banquet Hall,17.403586,78.407439,500.0,2.0,3.1,"8-1-348,1st Floor,Opposite Reliance Mart, Tolichowki, Hyderabad"
459,Yes Bawarchi Restaurant,17.261262,78.386517,800.0,2.0,3.9,"Beside Axis Bank, Madhura Nagar Airport Road, Shamshabad, Hyderabad"
460,Kinara Grand,17.260335,78.385499,850.0,2.0,3.0,"NH7, Airport Road, Near Bus Stop, Shamshabad, Hyderabad"
461,Paradise Biryani,17.360931,78.544478,800.0,2.0,4.1,"Ground Floor, SS Complex, Road 2, Green Hills, Kothapet, Hyderabad"
462,Spicy Hub,17.365503,78.54297,600.0,2.0,3.9,"11-13-1425, Near Rythu Bazar, Kothapet, Hyderabad"
463,Spicy Hub,17.365503,78.54297,600.0,2.0,3.9,"11-13-1425, Near Rythu Bazar, Kothapet, Hyderabad"
464,Surabhi Elite,17.35907,78.545121,800.0,2.0,3.3,"11-13-196/5/A&B, Near Ozone Hospital, Green Hills Colony, Kothapet, Hyderabad"
465,Kritunga Restaurant,17.367989,78.540333,700.0,2.0,4.0,"Lakshmi Nagar Colony, Road 3, Near Balanagar X Road Signal, Kothapet, Hyderabad"
466,Nakshatra Inn Pure Veg Tiffins,17.367813,78.539868,600.0,2.0,3.6,"Beside Omni Hospital, Laxminagar Colony, Kothapet X Road, Kothapet, Hyderabad"
467,Hotel Sindhura Grand,17.361091,78.544852,600.0,2.0,3.3,"Road 2, Polkampally, Dwarka Nagar, Kothapet, Hyderabad"
