,venue,latitude,longitude,price_for_two,price_range,rating,address
226,Surabhi Pride,17.505186,78.478349,900.0,2.0,3.9,"Hotel Surabhi Pride, Plot 106 & 107, Green Park Avenue, Suchitra Circle, Medchal Road, Hyderabad"
227,Chutneys,17.429617,78.409804,800.0,2.0,4.3,"Near More Super Market, Road 36, Jubilee Hills, Hyderabad"
228,Farzi Cafe,17.428555,78.409032,1800.0,3.0,4.6,"1200, Road 59, Jubilee Hills, Hyderabad"
229,Rani Gari Tiffins,17.434462,78.413144,250.0,1.0,3.3,"Syala Drive In, Plot 265, Road 10, Beside HDFC Bank, Jubilee Hills, Hyderabad"
230,House of Pops,17.43555,78.411155,350.0,1.0,3.9,"Turf Side , Opposite Spicy Venue, Jubilee Hills, Hyderabad"
231,Chaat Company,17.427651,78.412757,200.0,1.0,3.8,"1293, A, Road 63, Jubilee Hills, Hyderabad"
232,Good Cow Cafe,17.431836,78.408325,900.0,2.0,4.1,"Plot 479/B, Road 21, Near Rayalaseema Ruchulu, Jubilee Hills, Hyderabad"
233,A` la carte kitchen,17.424351,78.40951,400.0,1.0,3.0,"Beside Mexican Grill Subs , Road no 45, Jubilee Hills, Hyderabad"
234,Vivaha Bhojanambu,17.434539,78.414259,1000.0,3.0,4.0,"Plot 265/F, Road 10, Jubilee Hills, Hyderabad"
235,Ulavacharu,17.423905,78.411989,1200.0,3.0,4.0,"1299/F, Road 68, Near Indian Oil Petrol Pump, Jubilee Hills, Hyderabad"
236,Kondapalli Kitchen,17.431483,78.406697,500.0,2.0,3.9,"House 8-2-293/82/A/1096, Road 36, Ground Floor, Zonah Neptune, SVM Mall, Jubilee Hills, Hyderabad"
237,KFC,17.423308,78.427912,450.0,1.0,3.8,"Ground Floor, Cinemax Building, RK Cineplex, Road 2, Banjara Hills, Hyderabad"
238,The Spicy Venue,17.436171,78.410743,900.0,2.0,4.2,"265/S, Near Diamond House, Road 10, Jubilee Hills, Hyderabad"
239,Orka Cafe,17.427384,78.405201,1200.0,3.0,4.1,"Door 8-2-293/82/A/1059, Plot 1059, Road 53, Jubilee Hills, Hyderabad"
240,Sri Siva Reddy Sweets,17.451976,78.424463,200.0,1.0,3.3,"Balaji Swarnapuri Colony, Moti Nagar, Hyderabad"
241,Arabian Corner Restaurant,17.407798,78.417304,600.0,2.0,3.8,"482, Road 86, Paramount Hills, Film Nagar, Hyderabad"
242,Burger Hub's,17.412,78.545,300.0,1.0,3.2,"Plot 29, S-2, 1st Floor, Street 8, Vasanth Vihar, Habsiguda, Hyderabad"
243,Hotel Bhadra's Grand,17.401615,78.545297,650.0,2.0,3.5,"Plot 6, Beside NSL Arena, Ramanthapur, Hyderabad"
244,Nagini Parota Center,17.490477,78.572589,150.0,1.0,3.5,"Opposite Radhika Theatre, Jai Kissan Colony, Saket Road, A S Rao Nagar, Secunderabad"
245,Shahi Biryani Darbaar,17.47113,78.508588,500.0,2.0,3.6,"Trimugherry Cross Road, Trimulgherry, Secunderabad"
246,Hotel SPG Grand,17.346547,78.520065,800.0,2.0,3.5,"Vyshali Nagar, Above State Bank of Hyderabad, Champapet, Saroor Nagar, Hyderabad"
247,Hotel Anand Bhavan,17.364409,78.42791,300.0,1.0,2.6,"1-4-178, Pillar 142, Hyderaguda Cross Road, Attapur, Hyderabad"
